epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.044,2.73069,4.00157,1.66153,0.00565,0.06862,0.00566,0.00261,3.16552,8.29463,2.17052,0.0695313,0.0027216,0.0027216
2,94.3663,2.97228,3.72792,1.79296,0.34168,0.02216,0.00659,0.00314,3.27487,3.74893,2.03779,0.0385711,0.00509468,0.00509468
3,132.422,2.91039,3.62059,1.7822,0.48471,0.02376,0.00887,0.00409,2.99188,3.5074,1.87085,0.00724979,0.00710673,0.00710673
