epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.7026,2.01891,4.23839,1.89993,0.28601,0.0329,0.00246,0.00091,2.54199,34.1064,2.79437,0.0701288,0.00331903,0.00331903
2,206.617,2.22068,4.13681,2.11396,0.15299,0.0475,0.00255,0.00126,2.51925,7.65863,2.65241,0.039997,0.00652064,0.00652064
3,286.829,2.16864,3.99163,2.06434,0.52862,0.03011,0.00859,0.00417,2.26252,4.10573,2.1147,0.00973332,0.00959026,0.00959026
4,360.353,2.08572,3.86714,2.01722,0.44443,0.02573,0.01005,0.00486,2.1528,3.78149,2.10114,0.009406,0.009406,0.009406
5,426.069,2.01919,3.7096,1.94965,0.44901,0.03822,0.01571,0.00762,2.1099,3.6915,2.00862,0.009208,0.009208,0.009208
6,489.398,1.94752,3.58454,1.89205,0.49541,0.02461,0.01724,0.00879,2.0167,3.45704,1.97264,0.00901,0.00901,0.00901
7,552.787,1.92378,3.52843,1.85182,0.40578,0.03503,0.02606,0.01308,1.97296,3.27353,1.86761,0.008812,0.008812,0.008812
